### Standard French Tarot deck
1 Ace of Clubs <back3>
1 Ace of Diamonds <back3>
1 Ace of Hearts <back3>
1 Ace of Spades <back3>
1 2 of Clubs <back3>
1 2 of Diamonds <back3>
1 2 of Hearts <back3>
1 2 of Spades <back3>
1 3 of Clubs <back3>
1 3 of Diamonds <back3>
1 3 of Hearts <back3>
1 3 of Spades <back3>
1 4 of Clubs <back3>
1 4 of Diamonds <back3>
1 4 of Hearts <back3>
1 4 of Spades <back3>
1 5 of Clubs <back3>
1 5 of Diamonds <back3>
1 5 of Hearts <back3>
1 5 of Spades <back3>
1 6 of Clubs <back3>
1 6 of Diamonds <back3>
1 6 of Hearts <back3>
1 6 of Spades <back3>
1 7 of Clubs <back3>
1 7 of Diamonds <back3>
1 7 of Hearts <back3>
1 7 of Spades <back3>
1 8 of Clubs <back3>
1 8 of Diamonds <back3>
1 8 of Hearts <back3>
1 8 of Spades <back3>
1 9 of Clubs <back3>
1 9 of Diamonds <back3>
1 9 of Hearts <back3>
1 9 of Spades <back3>
1 10 of Clubs <back3>
1 10 of Diamonds <back3>
1 10 of Hearts <back3>
1 10 of Spades <back3>
1 Jack of Clubs <back3>
1 Jack of Diamonds <back3>
1 Jack of Hearts <back3>
1 Jack of Spades <back3>
1 Cavalier of Clubs <back3>
1 Cavalier of Diamonds <back3>
1 Cavalier of Hearts <back3>
1 Cavalier of Spades <back3>
1 Queen of Clubs <back3>
1 Queen of Diamonds <back3>
1 Queen of Hearts <back3>
1 Queen of Spades <back3>
1 King of Clubs <back3>
1 King of Diamonds <back3>
1 King of Hearts <back3>
1 King of Spades <back3>

1 1 of Trumps <back3>
1 2 of Trumps <back3>
1 3 of Trumps <back3>
1 4 of Trumps <back3>
1 5 of Trumps <back3>
1 6 of Trumps <back3>
1 7 of Trumps <back3>
1 8 of Trumps <back3>
1 9 of Trumps <back3>
1 10 of Trumps <back3>
1 11 of Trumps <back3>
1 12 of Trumps <back3>
1 13 of Trumps <back3>
1 14 of Trumps <back3>
1 15 of Trumps <back3>
1 16 of Trumps <back3>
1 17 of Trumps <back3>
1 18 of Trumps <back3>
1 19 of Trumps <back3>
1 20 of Trumps <back3>
1 21 of Trumps <back3>

1 The Fool <back3>
